Syscall,Occur
clock_gettime,6289.0
getrandom,4229.0
read,2337.0
newfstatat,2140.0
pselect6,1932.0
mmap,1775.0
rt_sigprocmask,1611.0
poll,1492.0
futex,1416.0
close,1279.0
openat,1136.0
ioctl,1072.0
recvmsg,1045.0
write,908.0
epoll_wait,816.0
rt_sigaction,745.0
wait4,609.0
gettid,588.0
times,584.0
mprotect,562.0
sendmsg,497.0
gettimeofday,454.0
inotify_add_watch,303.0
epoll_ctl,256.0
prlimit64,228.0
fcntl,198.0
prctl,169.0
getdents64,137.0
socket,133.0
clone,129.0
setsockopt,128.0
nanosleep,128.0
set_robust_list,126.0
timerfd_settime,123.0
recvfrom,110.0
munmap,109.0
pread64,107.0
readlinkat,100.0
kcmp,96.0
lseek,96.0
connect,93.0
sendto,88.0
geteuid,87.0
getsockopt,83.0
brk,82.0
getuid,80.0
getpid,72.0
access,69.0
getgid,69.0
getegid,66.0
arch_prctl,42.0
getsockname,42.0
readlink,30.0
kill,28.0
rmdir,27.0
eventfd2,23.0
dup2,22.0
execve,21.0
exit_group,21.0
rt_sigreturn,20.0
pipe,19.0
ftruncate,18.0
madvise,17.0
exit,17.0
umask,16.0
epoll_pwait,16.0
accept4,16.0
stat,15.0
mkdir,15.0
setresuid,15.0
fsync,15.0
statx,14.0
uname,14.0
capget,14.0
pipe2,13.0
socketpair,13.0
ppoll,13.0
bind,12.0
chdir,12.0
statfs,12.0
writev,11.0
dup3,11.0
getppid,11.0
setpgid,11.0
sched_setattr,10.0
fstat,10.0
setresgid,10.0
clock_nanosleep,10.0
shutdown,10.0
rename,10.0
timerfd_create,10.0
getpeername,9.0
set_tid_address,9.0
waitid,9.0
sched_yield,9.0
epoll_create1,9.0
setgroups,9.0
getcwd,8.0
fstatfs,7.0
alarm,7.0
unlink,7.0
keyctl,6.0
setgid,5.0
setuid,4.0
sendmmsg,4.0
capset,4.0
setsid,4.0
getgroups,4.0
mremap,4.0
inotify_rm_watch,3.0
umount2,3.0
sched_getattr,3.0
removexattr,3.0
getpgrp,3.0
setxattr,3.0
fallocate,3.0
sysinfo,3.0
symlink,3.0
add_key,3.0
sigaltstack,2.0
getresgid,2.0
dup,2.0
getresuid,2.0
getpgid,1.0
chmod,1.0
lstat,1.0
pwrite64,1.0
getpriority,1.0
getsid,1.0
vfork,1.0
listen,1.0
setpriority,1.0
rt_sigpending,1.0
,
