PID,SyscallID,Syscall,RDI,RSI,RDX,R10,R8,R9
1207,61,wait4,4294967295,2121640820,3,0,987824168,0
1207,100,times,982732832,2121640820,3,0,987824168,0
1207,270,pselect6,0,0,0,0,2121640784,0
958,270,pselect6,6,194591760,0,0,194591648,194591664
1207,61,wait4,4294967295,2121640820,3,0,987824168,0
1207,100,times,982732832,2121640820,3,0,987824168,0
1207,270,pselect6,0,0,0,0,2121640784,0
958,270,pselect6,6,194591760,0,0,194591648,194591664
1207,61,wait4,4294967295,2121640820,3,0,987824168,0
1207,100,times,982732832,2121640820,3,0,987824168,0
1207,270,pselect6,0,0,0,0,2121640784,0
958,270,pselect6,6,194591760,0,0,194591648,194591664
466,228,clock_gettime,1,2483099744,4294967295,148684928,0,2525164448
466,254,inotify_add_watch,13,1436544592,16789454,148684928,1436544592,2525164448
466,254,inotify_add_watch,13,1436328320,16789454,148684928,1436328320,2525164448
466,228,clock_gettime,1,2483099760,4294967295,148684928,1436140000,2525164448
466,7,poll,1436071088,2,3988,148684928,0,2525164448
1207,61,wait4,4294967295,2121640820,3,0,987824168,0
1207,100,times,982732832,2121640820,3,0,987824168,0
1207,270,pselect6,0,0,0,0,2121640784,0
958,270,pselect6,6,194591760,0,0,194591648,194591664
1207,61,wait4,4294967295,2121640820,3,0,987824168,0
1207,100,times,982732832,2121640820,3,0,987824168,0
1207,270,pselect6,0,0,0,0,2121640784,0
958,270,pselect6,6,194591760,0,0,194591648,194591664
1207,61,wait4,4294967295,2121640820,3,0,987824168,0
1207,100,times,982732832,2121640820,3,0,987824168,0
1207,270,pselect6,0,0,0,0,2121640784,0
492,228,clock_gettime,7,3278293680,4294967295,3279708288,2433004624,0
492,228,clock_gettime,7,3278293600,4294967295,3279708288,2433004624,2433004624
492,228,clock_gettime,7,3278293680,4294967295,3279708288,0,2433004624
492,270,pselect6,5,2433003872,2433004016,2433004160,3278293696,0
958,270,pselect6,6,194591760,0,0,194591648,194591664
675,228,clock_gettime,1,2518297984,4294967295,3867119744,0,2332000
675,1,write,5,2518297928,8,3867119744,0,2339000
675,228,clock_gettime,1,2509905264,4294967295,3867119744,0,0
675,0,read,5,2509905256,8,3867119744,0,0
675,7,poll,2509905280,2,10000,3867119744,0,0
675,7,poll,2518297976,1,5000,3867119744,0,2339000
539,43,accept,3,2599640224,2599640156,0,0,0
539,72,fcntl,5,3,2599640156,0,0,0
539,228,clock_gettime,7,2599640160,4294967295,2600177792,0,0
539,22,pipe,2599640184,2599640160,0,2600177792,0,0
539,53,socketpair,1,1,0,2599640856,1,0
539,56,clone,18874385,0,0,1915812816,0,0
539,3,close,7,598824903,2599639840,598824903,0,0
539,3,close,9,1,2599639840,598824903,0,0
539,1,write,8,2599639907,5,598884174,0,628348608
539,1,write,8,628165776,345,598884174,345,628348608
539,3,close,8,598823117,2599639840,598823117,628310560,628348608
539,3,close,5,598823117,2599639840,598823117,628310560,628348608
1692,273,set_robust_list,1915812832,24,0,1915812816,0,0
1692,257,openat,4294967196,598828782,577,438,4,1
1692,262,newfstatat,10,1921719510,2599638080,4096,0,2599639751
1692,1,write,10,628143408,2,599007738,0,2599639751
539,39,getpid,628262672,2599639984,40,598823117,628262672,0
539,39,getpid,628262672,2599639984,40,598823117,628273152,24
539,39,getpid,599100288,0,40,2218577905,666828391,3831239007
539,39,getpid,628262672,2599640352,1,0,628262672,0
539,39,getpid,628262672,2599640352,1,0,628273152,24
539,39,getpid,628261760,628310080,32,0,2599639736,8
1692,3,close,10,628143408,1921939616,599007738,0,2599639751
1692,3,close,6,628142096,628347408,599007738,628142800,2599639751
1692,3,close,3,1,628347408,599007738,628142800,2599639751
1692,3,close,4,1,628347408,599007738,628142800,2599639751
1692,3,close,8,1,1,599007738,628142800,2599639751
1692,112,setsid,17,4294967295,2599644694,1915811608,93,2599638224
539,270,pselect6,7,628287744,0,0,0,0
1692,33,dup2,5,0,2599640464,598835336,7,8
1692,33,dup2,0,1,2599640464,598835336,7,8
1692,33,dup2,7,4,2599640464,598835336,7,8
1692,3,close,7,4,2599640464,598835336,7,8
1692,33,dup2,9,5,2599640464,598835336,7,8
1692,3,close,9,5,2599640464,598835336,7,8
1692,13,rt_sigaction,1,2599640000,2599640160,8,2599640336,8
1692,59,execve,628144512,628294688,628144576,8,0,0
1692,12,brk,0,2892729880,83,0,2892729992,31
1692,158,arch_prctl,12289,511742128,2892643376,1,3,2048
1692,21,access,2892703856,4,774598888,0,0,7
1692,257,openat,4294967196,2892689951,524288,0,524288,2892689951
1692,262,newfstatat,3,2892687853,511738384,4096,524288,2892689951
1692,9,mmap,0,52878,1,2,3,0
1692,3,close,3,52878,1,2,3,0
1692,257,openat,4294967196,2892738368,524288,0,524288,2892738368
1692,0,read,3,511738936,832,0,524288,2892738368
1692,262,newfstatat,3,2892687853,511738592,4096,2892738368,2892735008
1692,9,mmap,0,8192,3,34,4294967295,0
1692,9,mmap,0,48160,1,2050,3,0
1692,9,mmap,2892419072,20480,5,2066,3,12288
1692,9,mmap,2892439552,8192,1,2066,3,32768
1692,9,mmap,2892447744,8192,3,2066,3,36864
1692,3,close,3,0,0,1402559844,3221225474,32
1692,257,openat,4294967196,2892457200,524288,0,524288,2892457200
1692,0,read,3,511738904,832,0,524288,2892457200
1692,262,newfstatat,3,2892687853,511738560,4096,2892457200,2892735008
1692,9,mmap,0,196816,1,2050,3,0
1692,9,mmap,2892218368,32768,5,2066,3,12288
1692,9,mmap,2892251136,81920,1,2066,3,45056
1692,9,mmap,2892333056,8192,3,2066,3,122880
1692,9,mmap,2892341248,61648,3,50,4294967295,0
1692,3,close,3,0,0,1402760548,3221225474,32
